radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,455,4,5,169727,0,113.543701,22.192211,1000,8,1,1384254182,1408433799,0
UMTS,455,4,5,170933,0,113.544235,22.192154,1000,9,1,1384254182,1408433799,0
UMTS,455,4,5,170564,0,113.543554,22.19253,1000,28,1,1384254182,1408433799,0
UMTS,455,4,5,170554,0,113.543015,22.191849,1000,9,1,1384254182,1408433799,0
UMTS,455,4,5,170924,0,113.543129,22.191467,1000,12,1,1384254182,1408433799,0
UMTS,455,4,5,165304,0,113.54223,22.191696,1000,7,1,1384254182,1408433799,0
UMTS,455,4,5,165307,0,113.54164123535,22.191696166992,1000,4,1,1384254182,1408433799,0
UMTS,455,4,5,165357,0,113.541336,22.191696,1000,9,1,1384254182,1408433799,0
UMTS,455,4,5,165360,0,113.54164123535,22.191696166992,1000,2,1,1384254182,1384731852,0
UMTS,455,4,5,165309,0,113.54164123535,22.191696166992,1000,2,1,1384254182,1408433799,0
UMTS,455,4,5,165359,0,113.541412,22.193298,1000,6,1,1384254182,1408433799,0
UMTS,455,4,5,164700,0,113.54026794434,22.193069458008,1000,3,1,1384254182,1408433799,0
UMTS,455,4,5,170450,0,113.54026794434,22.193069458008,1000,2,1,1384254182,1408433799,0
UMTS,455,4,5,170447,0,113.54026794434,22.193069458008,1000,7,1,1384254182,1408433799,0
UMTS,455,4,5,169806,0,113.539091,22.194443,1000,7,1,1384254182,1408433799,0
UMTS,455,4,5,170743,0,113.539719,22.195816,1000,5,1,1384254182,1408433799,0
UMTS,455,4,5,164393,0,113.54026794434,22.195816040039,1000,4,1,1384254182,1408433799,0
UMTS,455,4,5,170683,0,113.54026794434,22.195816040039,1000,1,1,1384254182,1384232818,0
UMTS,455,4,5,141343,0,113.539352,22.197037,1000,9,1,1384254182,1408433799,0
UMTS,455,4,5,164525,0,113.53889465332,22.197189331055,1000,4,1,1384254182,1408433799,0
UMTS,455,4,5,169697,0,113.53981,22.199936,1000,3,1,1384254182,1408433799,0
